Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
11-Nov-14,17266.25,17434.15,17220.45,17390.2,22486483,1805.57
12-Nov-14,17461.45,17635.9,17453.45,17587.05,27093290,2126.71
13-Nov-14,17645.3,17651,17389.65,17453,23662826,2014.64
14-Nov-14,17460.55,17601.15,17410.5,17576.8,27021001,2714.55
17-Nov-14,17571.7,17676.6,17469.25,17640.4,26928513,2918.64
18-Nov-14,17672.85,17750.25,17601.15,17702.55,24168195,2396.84
19-Nov-14,17739.2,17745.7,17557.1,17585.65,19839984,1807.93
20-Nov-14,17649.35,17681.8,17546.7,17645.05,38059457,1934.7
21-Nov-14,17767.75,18139.95,17716.65,18056.3,56331995,3290.41
24-Nov-14,18128.6,18313.1,18119.65,18281.95,40439295,2126.39
25-Nov-14,18261.95,18261.95,17992.5,18037.05,57611224,2730.78
26-Nov-14,17914.35,18128.15,17890.85,17975.95,32391132,1895.92
27-Nov-14,17988.7,18054.65,17898.4,18022.5,44024254,2487.49
28-Nov-14,18082.4,18615.4,18082.4,18513.15,67159535,3499.68
01-Dec-14,18586.95,18676.1,18497,18525.3,43682395,2499.43
02-Dec-14,18434.75,18601.85,18301,18555.85,54738132,2782.67
03-Dec-14,18549.75,18723.65,18518,18645.85,44130903,2368.4
04-Dec-14,18758.8,18793.15,18575.35,18782.85,46278757,2056.97
05-Dec-14,18827.6,18875.45,18706.25,18756.75,41358139,1933.54
08-Dec-14,18804.95,18804.95,18486.55,18510.05,32475946,1507.98
09-Dec-14,18499.95,18585.35,18248.1,18290.65,39683603,1710.9
10-Dec-14,18183.1,18532.9,18183.1,18462.95,47192327,2061.36
11-Dec-14,18427.5,18529.65,18218.4,18405,45844918,2034.58
12-Dec-14,18413.7,18501.75,18236.55,18299.75,38148580,1651.16
15-Dec-14,18176.7,18470.05,18157.25,18372.65,41440078,1897.66
16-Dec-14,18249,18308.95,17776.35,17830.55,63860864,2635.91
17-Dec-14,17762.25,18051.85,17502.45,17865.75,81367367,3305.99
18-Dec-14,18238,18356.3,18109.35,18326.6,56245826,2226.37
19-Dec-14,18545.7,18563.6,18413.75,18478.9,63612345,2565.23
22-Dec-14,18562.35,18801.15,18424,18747.35,39132217,1620.88
23-Dec-14,18746.8,18923.6,18558.5,18603.75,41066755,1733.21
24-Dec-14,18582.75,18709.15,18493.3,18535.35,54661971,2308.86
26-Dec-14,18602.55,18681.75,18448.6,18557.2,29898270,1165.86
29-Dec-14,18589.6,18700.7,18501.05,18528.35,26414596,1065.86
30-Dec-14,18573.25,18671.95,18428.1,18647.55,33793298,1442.86
31-Dec-14,18659.6,18774.2,18659.6,18736.65,27006490,1196.26
01-Jan-15,18728.2,18781.55,18638.85,18750.45,20469847,810.17
02-Jan-15,18752.2,19118.85,18752.2,19057.8,41288039,1713.48
05-Jan-15,19155.2,19166,18987.7,19017.4,36318747,1497.4
06-Jan-15,18874.6,18874.6,18388.35,18430.75,52069776,2124.64
07-Jan-15,18382.55,18482.05,18211.5,18304.25,58241387,2341.58
08-Jan-15,18587.1,18752.3,18486.2,18701.4,47744703,2208.7
09-Jan-15,18845.9,18864,18479.65,18637.25,51848548,2360.78
12-Jan-15,18632,18822.05,18530.1,18795.85,35089936,1429.2
13-Jan-15,18889,18920.65,18642.8,18707.2,44597947,2054.14
14-Jan-15,18670.4,18769.65,18517.9,18603.8,41590949,1849.89
15-Jan-15,19340.45,19410.4,19061.35,19235.65,86507935,3633.25
16-Jan-15,19274.15,19275.8,19108.35,19223.15,64054519,2727.26
19-Jan-15,19345.65,19434.2,19299.1,19406.05,43457730,1841.28
20-Jan-15,19446.8,19808.25,19446.8,19767.05,53748223,2506.48
21-Jan-15,19811.85,19964.95,19803.15,19843.25,70754102,3107.26
22-Jan-15,19898.5,19964.25,19788.7,19917.65,48970464,2088.71
23-Jan-15,20133.85,20167.65,19967.35,20072.7,60572191,2518.75
27-Jan-15,20179.8,20609.25,20098.25,20555.25,54239370,2361.39
28-Jan-15,20507.5,20907.55,20435,20491.75,67840741,3129.13
29-Jan-15,20475.7,20579,20338.95,20528.6,74660443,3311.8
30-Jan-15,20600.65,20600.65,19732.45,19843.75,120252455,4112.58
02-Feb-15,19778.95,19991.4,19564.5,19865.9,90687967,3676.27
03-Feb-15,19941.7,19963.7,19303.5,19382.95,107824150,3966.45
04-Feb-15,19423.25,19423.25,19113.35,19174,81360048,3179.43
05-Feb-15,19170.15,19444.65,18977.9,19051.9,70976148,2647.49
06-Feb-15,19066.25,19119.7,18740.35,18786.7,72602607,2547.37
09-Feb-15,18650,18667.05,18379.6,18403.85,60429342,2079.53
10-Feb-15,18242.95,18933.7,18226.9,18752.5,95139429,3524
11-Feb-15,18890.75,19051.8,18890.75,18940.8,56943797,2057.01
12-Feb-15,19073.45,19176.8,18739.85,19128.6,71078575,2479.52
13-Feb-15,19284.3,19441,19164.25,19369.7,114369392,3822.34
16-Feb-15,19518.85,19532.7,19127.15,19189.95,57732371,2122.5
18-Feb-15,19226.4,19389.8,19171.9,19296.5,46736878,1740.35
19-Feb-15,19296.15,19377.45,18876.25,19188.3,53870593,1956.43
20-Feb-15,19157.3,19307.8,18882.25,19073.55,63838362,2321.42
23-Feb-15,19199.15,19219.75,18835.35,18913.4,51088766,2071.28
24-Feb-15,18940.45,19022.15,18737.75,18883.8,59152218,2395.76
25-Feb-15,18969.2,19069.15,18700.2,18733.05,54229904,2122.15
26-Feb-15,18781.4,18795.1,18489.6,18538.1,76878910,2894.35
27-Feb-15,18659.65,19114.45,18654.85,19074.55,69819276,2581.78
28-Feb-15,19306.5,19776.9,19023.55,19691.2,100390043,4013.78
02-Mar-15,19954.5,20065.5,19750.85,20008.1,76974161,3513.38
03-Mar-15,20043.4,20043.4,19821.55,19961.2,58340797,2359.94
04-Mar-15,20541.65,20541.65,19555.1,19643.9,118684182,4758.11
05-Mar-15,19605.6,19830.35,19398.75,19748,59875106,2436.46
09-Mar-15,19545.25,19545.25,19112.65,19145.55,53042357,2049.83
10-Mar-15,19170.3,19271.8,18915.1,19054.4,57599232,2164.93
11-Mar-15,19050.3,19181.8,18917.9,19044,55360126,2007.31
12-Mar-15,19201.1,19255.9,19095.3,19141.85,41367973,1616.17
13-Mar-15,19359.75,19376.85,18737.35,18779.8,54939717,2009.37
16-Mar-15,18786.65,18912.85,18688,18837.35,48153899,1879.14
17-Mar-15,18961.3,19121.85,18781.5,19058.25,47743992,1758.87
18-Mar-15,19080.25,19234.4,18937.25,19147.25,59060854,2112.6
19-Mar-15,19345.7,19373.45,18739.85,18811.15,51683013,2152.84
20-Mar-15,18778.8,18782.95,18541.5,18606.35,62962667,2394.26
23-Mar-15,18695.05,18696.7,18409.9,18449,42987120,1577.49
24-Mar-15,18348.35,18546.25,18289.75,18331.45,62690934,2321.27
25-Mar-15,18364.3,18433,18271.6,18310.1,53985052,2021.21
26-Mar-15,18138.8,18224.1,17729.1,17831.65,104061184,4444.31
27-Mar-15,18013.65,18092.4,17719.35,18044.8,79498523,2881.25
30-Mar-15,18160.2,18393.25,18089.45,18361.8,50868224,1892.47
